Symbol,Name,거래소(시장),FnGuide Sector,FnGuide Industry Group,FnGuide Industry,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),신용등급 (채권),신용등급 (CP),최대주주등 주주명-상장협(분기)
A002790,아모레퍼시픽홀딩스,유가증권시장,필수소비재,생활용품,개인생활용품,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,,서경배외 8인
A000120,CJ대한통운,유가증권시장,산업재,운송,육상운수,운수 및 창고업,육상운송 및 파이프라인 운송업,도로 화물 운송업,AA-,A1,CJ제일제당(주)외 1인
A140410,메지온,코스닥,의료,제약 및 바이오,제약,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,,,동아쏘시오홀딩스외 3인
A028670,팬오션,유가증권시장,산업재,운송,해상운수,운수 및 창고업,수상 운송업,해상 운송업,A,NA,한국산업은행
A069960,현대백화점,유가증권시장,경기소비재,유통,백화점,도매 및 소매업,소매업; 자동차 제외,종합 소매업,AA+,A1,정지선외 3인
A069620,대웅제약,유가증권시장,의료,제약 및 바이오,제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,A+,NA,(주)대웅외 11인
A023530,롯데쇼핑,유가증권시장,경기소비재,유통,백화점,도매 및 소매업,소매업; 자동차 제외,종합 소매업,AA-,A1,신동빈외 18인
A005850,에스엘,유가증권시장,경기소비재,자동차 및 부품,자동차부품,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,,이성엽외 7인
A083650,비에이치아이,코스닥,산업재,자본재,기계,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,,,박은미외 6인
A005290,동진쎄미켐,코스닥,IT,반도체,반도체 및 관련장비,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,,(주)동진홀딩스외 3인
A010060,OCI홀딩스,유가증권시장,에너지,에너지,에너지 시설 및 서비스,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,A+,A2+,이수영외 22인
A006040,동원산업,유가증권시장,필수소비재,음식료 및 담배,식료품,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,AA-,A1,동원엔터프라이즈외 4인
A060370,LS마린솔루션,코스닥,산업재,자본재,건설,건설업,전문직별 공사업,전기 및 통신 공사업,,,(주)케이티외 2인
A006280,녹십자,유가증권시장,의료,제약 및 바이오,제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,A+,NA,녹십자홀딩스외 18인
A020150,롯데에너지머티리얼즈,유가증권시장,IT,하드웨어,전자 장비 및 기기,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,,,허재명외 3인
A032350,롯데관광개발,유가증권시장,경기소비재,소비자 서비스,호텔 및 레저,"사업시설 관리, 사업 지원 및 임대 서비스업",사업지원 서비스업,여행사 및 기타 여행보조 서비스업,,,김기병외 4인
A023590,다우기술,유가증권시장,IT,소프트웨어,IT 서비스,정보통신업,정보서비스업,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",A,NA,(주)다우데이타외 10인
A007070,GS리테일,유가증권시장,경기소비재,유통,도소매,도매 및 소매업,소매업; 자동차 제외,종합 소매업,AA,A1,(주)GS
A098460,고영,코스닥,IT,하드웨어,전자 장비 및 기기,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,,고광일외 7인
A011210,현대위아,유가증권시장,경기소비재,자동차 및 부품,자동차부품,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,AA-,NA,현대자동차외 3인
A008770,호텔신라,유가증권시장,경기소비재,소비자 서비스,호텔 및 레저,도매 및 소매업,소매업; 자동차 제외,기타 상품 전문 소매업,AA-,NA,삼성생명외 5인
A006360,GS건설,유가증권시장,산업재,자본재,건설,건설업,종합 건설업,건물 건설업,A,A2,허창수외 19인
A065350,신성델타테크,코스닥,경기소비재,내구 소비재 및 의류,내구소비재,제조업,전기장비 제조업,가정용 기기 제조업,,,구자천외 8인
A073240,금호타이어,유가증권시장,경기소비재,자동차 및 부품,자동차부품,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,A,NA,(주)우리은행
A084370,유진테크,코스닥,IT,반도체,반도체 및 관련장비,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,,엄평용외 14인
A005070,코스모신소재,유가증권시장,IT,하드웨어,컴퓨터 및 주변기기,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,,코스모화학(주)외 1인
A064760,티씨케이,코스닥,IT,반도체,반도체 및 관련장비,제조업,비금속 광물제품 제조업,기타 비금속 광물제품 제조업,,,"TOKAI CARBON CO.,LTD"
A020560,아시아나항공,유가증권시장,산업재,운송,항공운수,운수 및 창고업,항공 운송업,항공 여객 운송업,,,금호산업외 3인
A034230,파라다이스,유가증권시장,경기소비재,소비자 서비스,호텔 및 레저,"예술, 스포츠 및 여가관련 서비스업",스포츠 및 오락관련 서비스업,유원지 및 기타 오락관련 서비스업,A,NA,(주)파라다이스 글로벌외 11인
A058610,에스피지,코스닥,산업재,자본재,전기장비,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",,,이준호외 6인
A067310,하나마이크론,코스닥,IT,반도체,반도체 및 관련장비,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,BBB,NA,최창호외 4인
A003570,SNT다이내믹스,유가증권시장,경기소비재,자동차 및 부품,자동차부품,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,,(주)S&T홀딩스
A007340,DN오토모티브,유가증권시장,경기소비재,자동차 및 부품,자동차부품,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,A,A2,김만수외 4인
A047040,대우건설,유가증권시장,산업재,자본재,건설,건설업,종합 건설업,건물 건설업,A,A2,케이디비밸류제육호외 2인
A089030,테크윙,코스닥,IT,반도체,반도체 및 관련장비,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,,(주)테크윙외 3인
A001430,세아베스틸지주,유가증권시장,소재,소재,금속 및 광물,제조업,1차 금속 제조업,1차 철강 제조업,A+,A2+,(주)세아홀딩스외 5인
A007310,오뚜기,유가증권시장,필수소비재,음식료 및 담배,식료품,제조업,식료품 제조업,기타 식품 제조업,NA,A1,함태호외 26인
